time[s]	time_effective[ms]	power[1]	TO[C]	TH[C]	TOunten[C]
0	248	0	27.117	27.340	27.102
1	1001	0	27.070	27.305	27.078
2	2001	0	27.066	27.277	27.066
3	3001	0	27.062	27.242	27.070
4	4001	0	27.059	27.254	27.039
5	5001	0	27.031	27.215	27.035
6	6001	0	27.059	27.227	27.035
7	7001	0	27.055	27.223	27.035
8	8001	0	27.043	27.199	27.035
9	9001	0	27.039	27.188	27.027
10	10001	0	27.043	27.203	27.020
11	11001	0	27.027	27.180	27.012
12	12001	0	27.023	27.188	27.016
13	13001	0	27.008	27.176	27.016
14	14001	0	27.000	27.180	27.004
15	15000	0	27.008	27.176	27.008
16	16001	0	27.004	27.172	27.000
17	17001	0	27.016	27.156	26.996
18	18001	0	26.996	27.160	26.988
19	19001	0	27.000	27.148	27.004
20	20001	0	26.988	27.152	26.996
21	21001	0	26.988	27.137	26.984
22	22001	0	26.980	27.152	26.973
23	23001	0	26.980	27.145	26.973
24	24001	0	26.984	27.133	26.984
25	25001	0	26.977	27.121	26.969
26	26001	0	26.973	27.113	26.961
27	27001	0	26.980	27.098	26.965
28	28001	0	26.969	27.105	26.965
29	29001	0	26.949	27.105	26.961
30	30001	0	26.949	27.102	26.957
31	31000	0	26.965	27.086	26.961
32	32001	0	26.934	27.090	26.953
33	33001	0	26.953	27.090	26.934
34	34001	0	26.953	27.078	26.938
35	35001	0	26.949	27.082	26.934
36	36001	0	26.945	27.074	26.934
37	37001	0	26.945	27.070	26.945
38	38001	0	26.938	27.074	26.930
39	39001	0	26.945	27.051	26.926
40	40001	0	26.926	27.047	26.930
41	41001	0	26.938	27.055	26.938
42	42001	0	26.934	27.047	26.918
43	43001	0	26.918	27.039	26.914
44	44001	0	26.914	27.043	26.895
45	45001	0	26.922	27.023	26.926
46	46001	0	26.906	27.035	26.902
47	47000	0	26.898	27.023	26.902
48	48001	0	26.902	27.031	26.883
49	49001	0	26.902	27.027	26.879
50	50001	0	26.906	27.008	26.895
51	51001	0	26.895	27.008	26.895
52	52001	0	26.871	27.000	26.883
53	53001	0	26.898	27.008	26.871
54	54001	0	26.887	27.008	26.879
55	55001	0	26.883	26.996	26.883
56	56001	0	26.875	27.000	26.883
57	57001	0	26.867	26.984	26.867
58	58001	0	26.875	26.977	26.867
59	59001	0	26.879	26.984	26.871
60	60001	0	26.867	26.977	26.871
61	61001	0	26.863	26.957	26.859
62	62001	0	26.875	26.961	26.852
63	63000	0	26.855	26.961	26.859
64	64001	0	26.855	26.953	26.848
65	65001	0	26.863	26.957	26.863
66	66001	0	26.859	26.949	26.840
67	67001	0	26.855	26.957	26.832
68	68001	0	26.844	26.957	26.820
69	69001	0	26.863	26.945	26.828
70	70001	0	26.844	26.938	26.844
71	71001	0	26.852	26.941	26.840
72	72001	0	26.852	26.941	26.832
73	73001	0	26.824	26.934	26.832
74	74001	0	26.844	26.930	26.836
75	75001	0	26.828	26.941	26.828
76	76001	0	26.828	26.910	26.816
77	77001	0	26.844	26.914	26.816
78	78001	0	26.824	26.922	26.813
79	79000	0	26.840	26.906	26.813
80	80001	0	26.828	26.906	26.816
81	81001	0	26.813	26.910	26.797
82	82001	0	26.820	26.902	26.813
83	83001	0	26.836	26.910	26.793
84	84001	0	26.805	26.895	26.809
85	85001	0	26.801	26.879	26.797
86	86001	0	26.793	26.895	26.785
87	87001	0	26.824	26.895	26.770
88	88001	0	26.805	26.887	26.785
89	89001	0	26.793	26.879	26.785
90	90001	0	26.813	26.871	26.801
91	91001	0	26.793	26.879	26.793
92	92001	0	26.797	26.855	26.770
93	93001	0	26.797	26.859	26.781
94	94001	0	26.773	26.859	26.777
95	95000	0	26.801	26.855	26.781
96	96001	0	26.773	26.855	26.766
97	97001	0	26.766	26.863	26.754
98	98001	0	26.789	26.855	26.754
99	99001	0	26.785	26.844	26.777
100	100001	0	26.789	26.855	26.762
101	101001	0	26.781	26.855	26.754
102	102001	0	26.770	26.840	26.758
103	103001	0	26.750	26.836	26.750
104	104001	0	26.781	26.836	26.742
105	105001	0	26.781	26.848	26.754
106	106001	0	26.754	26.848	26.742
107	107001	0	26.773	26.824	26.754
108	108001	0	26.762	26.828	26.738
109	109001	0	26.754	26.836	26.746
110	110001	0	26.746	26.824	26.754
111	111000	0	26.750	26.824	26.730
112	112001	0	26.758	26.816	26.734
113	113001	0	26.746	26.820	26.738
114	114001	0	26.754	26.809	26.730
115	115001	0	26.742	26.816	26.738
116	116001	0	26.734	26.809	26.734
117	117001	0	26.738	26.805	26.723
118	118001	0	26.734	26.801	26.723
119	119001	0	26.738	26.797	26.715
120	120001	0	26.742	26.793	26.711
121	121001	0	26.727	26.801	26.707
122	122001	0	26.730	26.773	26.711
123	123001	0	26.719	26.793	26.715
124	124001	0	26.715	26.777	26.711
125	125001	0	26.699	26.789	26.715
126	126000	0	26.719	26.773	26.699
127	127001	0	26.711	26.777	26.703
128	128001	0	26.723	26.758	26.699
129	129001	0	26.699	26.777	26.699
130	130001	0	26.711	26.785	26.707
131	131001	0	26.695	26.766	26.684
132	132001	0	26.711	26.766	26.707
133	133001	0	26.695	26.738	26.695
134	134001	0	26.719	26.738	26.688
135	135001	0	26.707	26.754	26.688
136	136001	0	26.684	26.758	26.688
137	137001	0	26.703	26.754	26.688
138	138001	0	26.695	26.742	26.691
139	139001	0	26.707	26.742	26.688
140	140001	0	26.711	26.723	26.691
141	141000	0	26.695	26.742	26.680
142	142001	0	26.684	26.727	26.680
143	143001	0	26.684	26.730	26.676
144	144001	0	26.688	26.742	26.680
145	145001	0	26.680	26.719	26.668
146	146001	0	26.688	26.746	26.660
147	147001	0	26.684	26.730	26.676
148	148001	0	26.684	26.730	26.672
149	149001	0	26.672	26.727	26.645
150	150001	0	26.664	26.723	26.660
151	151001	0	26.684	26.703	26.664
152	152001	0	26.684	26.711	26.648
153	153001	0	26.691	26.707	26.641
154	154001	0	26.672	26.719	26.656
155	155001	0	26.668	26.711	26.660
156	156000	0	26.680	26.707	26.652
157	157001	0	26.652	26.719	26.648
158	158001	0	26.652	26.715	26.633
159	159001	0	26.652	26.699	26.656
160	160001	0	26.660	26.688	26.641
161	161001	0	26.660	26.699	26.648
162	162001	0	26.676	26.699	26.633
163	163001	0	26.648	26.699	26.641
164	164001	0	26.656	26.676	26.621
165	165001	0	26.648	26.699	26.617
166	166001	0	26.656	26.699	26.629
167	167001	0	26.652	26.691	26.637
168	168001	0	26.656	26.672	26.629
169	169001	0	26.645	26.672	26.633
170	170001	0	26.633	26.684	26.633
171	171000	0	26.641	26.676	26.605
172	172001	0	26.648	26.664	26.617
173	173001	0	26.637	26.660	26.617
174	174001	0	26.625	26.676	26.609
175	175001	0	26.633	26.676	26.613
176	176001	0	26.629	26.664	26.629
177	177001	0	26.637	26.656	26.609
178	178001	0	26.637	26.664	26.613
179	179001	0	26.633	26.660	26.605
180	180001	0	26.637	26.684	26.621
181	181001	0	26.629	26.660	26.598
182	182001	0	26.625	26.652	26.617
183	183001	0	26.625	26.660	26.609
184	184001	0	26.621	26.652	26.598
185	185001	0	26.621	26.660	26.609
186	186000	0	26.613	26.656	26.598
187	187001	0	26.617	26.648	26.602
188	188001	0	26.617	26.645	26.586
189	189001	0	26.609	26.641	26.578
190	190001	0	26.613	26.648	26.594
191	191001	0	26.605	26.652	26.594
192	192001	0	26.598	26.641	26.574
193	193001	0	26.613	26.645	26.594
194	194001	0	26.602	26.637	26.602
195	195001	0	26.598	26.621	26.590
196	196001	0	26.609	26.633	26.586
197	197001	0	26.613	26.637	26.574
198	198001	0	26.590	26.629	26.570
199	199001	0	26.605	26.621	26.570
200	200001	0	26.586	26.605	26.566
201	201000	0	26.602	26.613	26.570
202	202001	0	26.605	26.609	26.559
203	203001	0	26.586	26.625	26.566
204	204001	0	26.590	26.609	26.582
205	205001	0	26.578	26.609	26.574
206	206001	0	26.590	26.625	26.570
207	207001	0	26.590	26.598	26.570
208	208001	0	26.570	26.602	26.559
209	209001	0	26.602	26.586	26.551
210	210001	0	26.598	26.594	26.563
211	211001	0	26.570	26.621	26.535
212	212001	0	26.578	26.586	26.547
213	213001	0	26.574	26.594	26.547
214	214001	0	26.574	26.609	26.566
215	215001	0	26.582	26.590	26.570
216	216000	0	26.574	26.605	26.539
217	217001	0	26.574	26.598	26.543
218	218001	0	26.578	26.598	26.563
219	219001	0	26.570	26.578	26.539
220	220001	0	26.566	26.598	26.551
221	221001	0	26.551	26.570	26.555
222	222001	0	26.547	26.582	26.535
223	223001	0	26.570	26.582	26.539
224	224001	0	26.563	26.582	26.535
225	225001	0	26.547	26.563	26.535
226	226001	0	26.563	26.578	26.523
227	227001	0	26.555	26.574	26.531
228	228001	0	26.543	26.570	26.539
229	229001	0	26.555	26.563	26.531
230	230001	0	26.559	26.563	26.535
231	231000	0	26.547	26.574	26.520
232	232001	0	26.559	26.566	26.527
233	233001	0	26.539	26.570	26.520
234	234001	0	26.527	26.563	26.531
235	235001	0	26.535	26.559	26.535
236	236001	0	26.551	26.574	26.512
237	237001	0	26.523	26.563	26.512
238	238001	0	26.539	26.566	26.512
239	239001	0	26.539	26.551	26.508
240	240001	0	26.543	26.551	26.504
241	241001	0	26.539	26.559	26.504
242	242001	0	26.531	26.535	26.527
243	243001	0	26.539	26.559	26.504
244	244001	0	26.523	26.543	26.504
245	245001	0	26.539	26.543	26.504
246	246000	0	26.523	26.543	26.504
247	247001	0	26.520	26.535	26.508
248	248001	0	26.523	26.539	26.504
249	249001	0	26.504	26.539	26.504
250	250001	0	26.527	26.551	26.496
251	251001	0	26.508	26.527	26.508
252	252001	0	26.516	26.539	26.500
253	253001	0	26.520	26.527	26.488
254	254001	0	26.520	26.531	26.500
255	255001	0	26.512	26.523	26.492
256	256001	0	26.492	26.520	26.500
257	257001	0	26.520	26.520	26.496
258	258001	0	26.512	26.535	26.484
259	259001	0	26.504	26.527	26.488
260	260001	0	26.504	26.527	26.488
261	261000	0	26.500	26.520	26.492
262	262001	0	26.520	26.500	26.473
263	263001	0	26.512	26.531	26.480
264	264001	0	26.504	26.512	26.477
265	265001	0	26.512	26.508	26.473
266	266001	0	26.508	26.523	26.473
267	267001	0	26.500	26.484	26.477
268	268001	0	26.496	26.516	26.480
269	269001	0	26.484	26.504	26.473
270	270001	0	26.500	26.508	26.473
271	271001	0	26.492	26.480	26.457
272	272001	0	26.488	26.508	26.461
273	273001	0	26.488	26.496	26.473
274	274001	0	26.492	26.496	26.457
275	275001	0	26.484	26.500	26.461
276	276000	0	26.500	26.504	26.465
277	277001	0	26.473	26.488	26.457
278	278001	0	26.488	26.504	26.465
279	279001	0	26.492	26.496	26.469
280	280001	0	26.492	26.477	26.449
281	281001	0	26.473	26.504	26.457
282	282001	0	26.457	26.492	26.461
283	283001	0	26.465	26.492	26.453
284	284001	0	26.461	26.484	26.461
285	285001	0	26.480	26.477	26.441
286	286001	0	26.473	26.473	26.437
287	287001	0	26.473	26.480	26.445
288	288001	0	26.457	26.484	26.449
289	289001	0	26.465	26.465	26.445
290	290001	0	26.461	26.473	26.434
291	291000	0	26.465	26.477	26.453
292	292001	0	26.457	26.480	26.434
293	293001	0	26.457	26.469	26.434
294	294001	0	26.473	26.469	26.441
295	295001	0	26.461	26.477	26.430
296	296001	0	26.449	26.484	26.441
297	297001	0	26.457	26.457	26.434
298	298001	0	26.465	26.473	26.445
299	299001	0	26.457	26.469	26.430
300	300001	1	26.441	26.457	26.434
301	301000	1	26.449	26.617	26.426
302	302001	1	26.488	27.270	26.473
303	303001	1	26.535	28.164	26.527
304	304001	1	26.637	29.082	26.609
305	305001	1	26.699	29.961	26.691
306	306000	1	26.762	30.719	26.773
307	307001	1	26.871	31.344	26.848
308	308001	1	26.949	31.895	26.945
309	309001	1	27.031	32.359	27.020
310	310001	1	27.090	32.762	27.109
311	311001	1	27.195	33.082	27.168
312	312001	1	27.250	33.383	27.270
313	313001	1	27.324	33.648	27.344
314	314001	1	27.410	33.863	27.402
315	315001	1	27.488	34.066	27.461
316	316001	1	27.547	34.238	27.543
317	317001	1	27.629	34.391	27.609
318	318001	1	27.691	34.547	27.684
319	319001	1	27.770	34.684	27.738
320	320001	1	27.816	34.777	27.828
321	321001	1	27.895	34.902	27.879
322	322000	1	27.980	35.008	27.945
323	323001	1	28.016	35.090	28.004
324	324001	1	28.086	35.191	28.066
325	325001	1	28.137	35.273	28.133
326	326001	1	28.219	35.367	28.211
327	327001	1	28.281	35.441	28.270
328	328001	1	28.340	35.520	28.320
329	329001	1	28.402	35.594	28.387
330	330001	1	28.465	35.656	28.426
331	331001	1	28.527	35.742	28.488
332	332001	1	28.578	35.801	28.555
333	333001	1	28.637	35.867	28.621
334	334001	1	28.691	35.922	28.664
335	335001	1	28.754	35.984	28.727
336	336001	1	28.801	36.051	28.785
337	337000	1	28.859	36.102	28.828
338	338001	1	28.906	36.160	28.887
