time[s]	time_effective[ms]	power[1]	TO[C]	TH[C]	TOunten[C]
0	219	0	28.535	28.543	28.527
1	1001	0	28.512	28.500	28.512
2	2001	0	28.484	28.469	28.484
3	3001	0	28.484	28.461	28.480
4	4001	0	28.496	28.445	28.473
5	5001	0	28.477	28.449	28.473
6	6001	0	28.461	28.430	28.461
7	7001	0	28.461	28.434	28.465
8	8001	0	28.469	28.414	28.449
9	9001	0	28.449	28.418	28.438
10	10001	0	28.449	28.406	28.434
11	11001	0	28.445	28.402	28.422
12	12001	0	28.434	28.398	28.434
13	13001	0	28.426	28.391	28.430
14	14001	0	28.430	28.391	28.414
15	15001	0	28.438	28.375	28.406
16	16001	0	28.426	28.391	28.418
17	17001	0	28.406	28.375	28.402
18	18001	0	28.406	28.355	28.398
19	19001	0	28.391	28.363	28.395
20	20001	0	28.410	28.344	28.395
21	21001	0	28.387	28.355	28.379
22	22001	0	28.375	28.355	28.391
23	23001	0	28.398	28.336	28.387
24	24001	0	28.387	28.344	28.379
25	25001	0	28.363	28.313	28.359
26	26001	0	28.375	28.320	28.352
27	27001	0	28.352	28.324	28.359
28	28001	0	28.348	28.305	28.344
29	29001	0	28.355	28.305	28.340
30	30001	0	28.340	28.324	28.332
31	31000	0	28.320	28.289	28.336
32	32001	0	28.336	28.281	28.332
33	33001	0	28.309	28.293	28.305
34	34001	0	28.316	28.281	28.332
35	35001	0	28.316	28.285	28.309
36	36001	0	28.297	28.262	28.309
37	37001	0	28.313	28.270	28.297
38	38001	0	28.293	28.258	28.289
39	39001	0	28.293	28.250	28.289
40	40001	0	28.277	28.238	28.273
41	41001	0	28.281	28.230	28.270
42	42001	0	28.281	28.230	28.262
43	43001	0	28.266	28.207	28.266
44	44001	0	28.266	28.203	28.262
45	45001	0	28.258	28.195	28.266
46	46001	0	28.246	28.207	28.246
47	47001	0	28.250	28.199	28.238
48	48001	0	28.250	28.180	28.230
49	49001	0	28.230	28.176	28.227
50	50001	0	28.223	28.191	28.223
51	51001	0	28.219	28.156	28.207
52	52001	0	28.207	28.145	28.215
53	53001	0	28.195	28.148	28.191
54	54001	0	28.211	28.141	28.191
55	55001	0	28.191	28.137	28.188
56	56001	0	28.180	28.133	28.172
57	57001	0	28.180	28.129	28.191
58	58001	0	28.176	28.121	28.160
59	59001	0	28.152	28.121	28.180
60	60001	0	28.156	28.102	28.168
61	61001	0	28.152	28.105	28.160
62	62001	0	28.172	28.102	28.145
63	63001	0	28.141	28.102	28.137
64	64001	0	28.145	28.105	28.117
65	65001	0	28.148	28.090	28.133
66	66001	0	28.125	28.078	28.129
67	67001	0	28.129	28.102	28.121
68	68001	0	28.137	28.074	28.129
69	69001	0	28.129	28.066	28.113
70	70001	0	28.105	28.070	28.109
71	71001	0	28.113	28.051	28.121
72	72001	0	28.105	28.063	28.102
73	73001	0	28.109	28.035	28.121
74	74001	0	28.090	28.039	28.090
75	75001	0	28.086	28.027	28.090
76	76001	0	28.082	28.031	28.063
77	77001	0	28.090	28.031	28.074
78	78001	0	28.066	28.023	28.078
79	79001	0	28.074	28.012	28.070
80	80001	0	28.055	28.004	28.055
81	81001	0	28.066	28.004	28.055
82	82001	0	28.047	28.008	28.051
83	83001	0	28.063	28.016	28.035
84	84001	0	28.055	27.992	28.039
85	85001	0	28.043	27.984	28.043
86	86001	0	28.055	27.984	28.035
87	87001	0	28.031	27.973	28.035
88	88001	0	28.031	27.965	28.012
89	89001	0	28.023	27.953	28.027
90	90001	0	28.039	27.957	28.012
91	91001	0	28.012	27.961	28.023
92	92001	0	27.992	27.965	28.016
93	93001	0	28.008	27.945	27.988
94	94001	0	28.008	27.945	27.992
95	95001	0	28.008	27.941	27.988
96	96001	0	27.984	27.941	27.977
97	97001	0	27.980	27.930	27.992
98	98001	0	27.984	27.926	27.973
99	99001	0	27.973	27.914	27.980
100	100001	0	27.977	27.922	27.965
101	101001	0	27.973	27.902	27.965
102	102001	0	27.973	27.922	27.945
103	103001	0	27.953	27.906	27.961
104	104001	0	27.961	27.898	27.949
105	105001	0	27.957	27.910	27.953
106	106001	0	27.953	27.891	27.941
107	107001	0	27.926	27.875	27.938
108	108001	0	27.945	27.898	27.926
109	109001	0	27.934	27.879	27.934
110	110001	0	27.934	27.887	27.926
111	111001	0	27.930	27.875	27.922
112	112001	0	27.922	27.871	27.922
113	113001	0	27.918	27.871	27.906
114	114001	0	27.902	27.855	27.910
115	115001	0	27.906	27.844	27.914
116	116001	0	27.910	27.855	27.906
117	117001	0	27.902	27.840	27.902
118	118001	0	27.898	27.840	27.910
119	119001	0	27.895	27.836	27.902
120	120001	0	27.887	27.824	27.883
121	121001	0	27.895	27.824	27.879
122	122001	0	27.875	27.816	27.867
123	123001	0	27.871	27.801	27.875
124	124001	0	27.867	27.809	27.855
125	125001	0	27.844	27.797	27.867
126	126001	0	27.867	27.797	27.859
127	127001	0	27.867	27.793	27.848
128	128001	0	27.852	27.813	27.848
129	129001	0	27.863	27.789	27.836
130	130001	0	27.852	27.789	27.848
131	131001	0	27.836	27.773	27.836
132	132001	0	27.836	27.777	27.844
133	133001	0	27.828	27.773	27.820
134	134001	0	27.840	27.770	27.820
135	135001	0	27.828	27.773	27.816
136	136001	0	27.820	27.770	27.824
137	137001	0	27.820	27.754	27.813
138	138001	0	27.809	27.750	27.801
139	139001	0	27.801	27.750	27.809
140	140001	0	27.816	27.746	27.785
141	141000	0	27.797	27.727	27.813
142	142001	0	27.805	27.742	27.781
143	143001	0	27.777	27.730	27.789
144	144001	0	27.785	27.738	27.789
145	145001	0	27.777	27.719	27.773
146	146001	0	27.781	27.730	27.766
147	147001	0	27.777	27.719	27.770
148	148001	0	27.777	27.715	27.762
149	149001	0	27.773	27.711	27.758
150	150001	0	27.770	27.707	27.758
151	151001	0	27.766	27.703	27.762
152	152001	0	27.754	27.699	27.754
153	153001	0	27.762	27.699	27.738
154	154001	0	27.742	27.699	27.742
155	155001	0	27.742	27.672	27.738
156	156000	0	27.750	27.672	27.727
157	157001	0	27.738	27.668	27.734
158	158001	0	27.715	27.664	27.730
159	159001	0	27.727	27.664	27.711
160	160001	0	27.727	27.656	27.719
161	161001	0	27.730	27.656	27.715
162	162001	0	27.723	27.645	27.719
163	163001	0	27.715	27.656	27.719
164	164001	0	27.723	27.637	27.711
165	165001	0	27.703	27.652	27.691
166	166001	0	27.711	27.645	27.695
167	167001	0	27.695	27.625	27.711
168	168001	0	27.684	27.625	27.691
169	169001	0	27.695	27.629	27.680
170	170001	0	27.687	27.625	27.699
171	171001	0	27.695	27.613	27.684
172	172001	0	27.695	27.613	27.672
173	173001	0	27.687	27.621	27.668
174	174001	0	27.684	27.609	27.656
175	175001	0	27.672	27.598	27.676
176	176001	0	27.656	27.613	27.648
177	177001	0	27.648	27.582	27.652
178	178001	0	27.648	27.590	27.664
179	179001	0	27.648	27.582	27.641
180	180001	0	27.637	27.594	27.648
181	181001	0	27.645	27.582	27.645
182	182001	0	27.641	27.586	27.625
183	183001	0	27.645	27.570	27.633
184	184001	0	27.625	27.566	27.621
185	185001	0	27.629	27.551	27.625
186	186001	0	27.621	27.555	27.617
187	187001	0	27.637	27.559	27.621
188	188001	0	27.613	27.566	27.613
189	189001	0	27.609	27.543	27.602
190	190001	0	27.617	27.547	27.605
191	191001	0	27.602	27.551	27.602
192	192001	0	27.605	27.539	27.586
193	193001	0	27.598	27.539	27.609
194	194001	0	27.578	27.535	27.594
195	195001	0	27.590	27.539	27.590
196	196001	0	27.609	27.512	27.586
197	197001	0	27.582	27.527	27.578
198	198001	0	27.563	27.512	27.570
199	199001	0	27.574	27.523	27.586
200	200001	0	27.570	27.520	27.574
201	201001	0	27.566	27.500	27.555
202	202001	0	27.570	27.492	27.570
203	203001	0	27.547	27.496	27.566
204	204001	0	27.555	27.492	27.543
205	205001	0	27.551	27.488	27.555
206	206001	0	27.551	27.477	27.547
207	207001	0	27.555	27.484	27.559
208	208001	0	27.555	27.477	27.551
209	209001	0	27.539	27.484	27.547
210	210001	0	27.535	27.469	27.535
211	211001	0	27.535	27.453	27.527
212	212001	0	27.535	27.473	27.512
213	213001	0	27.516	27.449	27.504
214	214001	0	27.512	27.445	27.531
215	215001	0	27.508	27.453	27.516
216	216001	0	27.508	27.441	27.504
217	217001	0	27.504	27.445	27.520
218	218001	0	27.500	27.430	27.500
219	219001	0	27.496	27.449	27.496
220	220001	0	27.508	27.430	27.484
221	221001	0	27.496	27.422	27.492
222	222001	0	27.496	27.438	27.488
223	223001	0	27.488	27.434	27.488
224	224001	0	27.496	27.414	27.488
225	225001	0	27.488	27.414	27.465
226	226001	0	27.484	27.426	27.484
227	227001	0	27.469	27.395	27.473
228	228001	0	27.465	27.410	27.465
229	229001	0	27.469	27.402	27.473
230	230001	0	27.469	27.387	27.453
231	231001	0	27.453	27.398	27.461
232	232001	0	27.465	27.371	27.449
233	233001	0	27.449	27.383	27.434
234	234001	0	27.438	27.395	27.438
235	235001	0	27.438	27.391	27.441
236	236001	0	27.445	27.371	27.418
237	237001	0	27.438	27.367	27.438
238	238001	0	27.434	27.367	27.438
239	239001	0	27.426	27.355	27.426
240	240001	0	27.422	27.395	27.410
241	241001	0	27.422	27.352	27.414
242	242001	0	27.414	27.348	27.414
243	243001	0	27.426	27.348	27.414
244	244001	0	27.422	27.344	27.410
245	245001	0	27.410	27.352	27.398
246	246001	0	27.402	27.344	27.395
247	247001	0	27.406	27.328	27.406
248	248001	0	27.406	27.340	27.398
249	249001	0	27.398	27.336	27.391
250	250001	0	27.406	27.328	27.383
251	251001	0	27.391	27.316	27.387
