time[s]	time_effective[ms]	power[1]	TO[C]	TH[C]	TOunten[C]
0	187	0	26.941	27.008	26.922
1	1001	0	26.918	26.973	26.887
2	2001	0	26.898	26.957	26.863
3	3001	0	26.902	26.926	26.879
4	4001	0	26.902	26.922	26.863
5	5001	0	26.891	26.918	26.863
6	6001	0	26.871	26.922	26.871
7	7001	0	26.875	26.898	26.852
8	8001	0	26.871	26.895	26.852
9	9001	0	26.867	26.906	26.824
10	10001	0	26.855	26.895	26.832
11	11001	0	26.863	26.895	26.832
12	12001	0	26.875	26.887	26.836
13	13001	0	26.844	26.879	26.824
14	14001	0	26.855	26.879	26.824
15	15001	0	26.848	26.879	26.820
16	16001	0	26.848	26.863	26.820
17	17001	0	26.840	26.871	26.797
18	18001	0	26.828	26.863	26.816
19	19001	0	26.848	26.863	26.801
20	20001	0	26.820	26.867	26.801
21	21001	0	26.813	26.867	26.789
22	22001	0	26.816	26.848	26.781
23	23001	0	26.809	26.844	26.793
24	24001	0	26.797	26.840	26.781
25	25001	0	26.809	26.844	26.777
26	26001	0	26.793	26.828	26.777
27	27001	0	26.805	26.828	26.770
28	28001	0	26.797	26.832	26.762
29	29001	0	26.797	26.813	26.754
30	30001	0	26.797	26.813	26.758
31	31000	0	26.797	26.816	26.750
32	32001	0	26.773	26.816	26.750
33	33001	0	26.754	26.813	26.738
34	34001	0	26.770	26.813	26.742
35	35001	0	26.766	26.816	26.750
36	36001	0	26.754	26.805	26.730
37	37001	0	26.750	26.793	26.738
38	38001	0	26.750	26.789	26.719
39	39001	0	26.762	26.785	26.707
40	40001	0	26.758	26.770	26.727
41	41001	0	26.750	26.777	26.734
42	42001	0	26.742	26.777	26.727
43	43001	0	26.742	26.777	26.719
44	44001	0	26.730	26.773	26.715
45	45001	0	26.730	26.762	26.699
46	46001	0	26.727	26.770	26.695
47	47000	0	26.742	26.758	26.684
48	48001	0	26.727	26.762	26.699
49	49001	0	26.719	26.758	26.688
50	50001	0	26.711	26.750	26.676
