time[s]	time_effective[ms]	power[1]	TO[C]	TH[C]	TOunten[C]
0	185	0	34.449	34.551	34.523
1	1001	0	34.430	34.496	34.480
2	2001	0	34.375	34.453	34.461
3	3001	0	34.383	34.418	34.438
4	4001	0	34.352	34.406	34.402
5	5001	0	34.332	34.391	34.402
6	6001	0	34.309	34.355	34.379
7	7001	0	34.285	34.336	34.352
8	8001	0	34.285	34.313	34.336
9	9001	0	34.262	34.293	34.305
10	10001	0	34.227	34.293	34.289
11	11001	0	34.223	34.270	34.273
12	12001	0	34.219	34.250	34.273
13	13001	0	34.199	34.250	34.254
14	14001	0	34.176	34.219	34.234
15	15001	0	34.145	34.207	34.211
16	16001	0	34.145	34.199	34.207
17	17001	0	34.121	34.176	34.180
18	18001	0	34.113	34.168	34.164
19	19001	0	34.102	34.137	34.160
20	20001	0	34.102	34.125	34.141
21	21001	0	34.082	34.109	34.129
22	22001	0	34.051	34.125	34.109
23	23001	0	34.043	34.090	34.070
24	24001	0	34.020	34.066	34.078
25	25001	0	34.020	34.063	34.063
26	26001	0	33.988	34.035	34.055
27	27001	0	33.969	34.039	34.035
28	28001	0	33.953	34.016	34.027
29	29001	0	33.961	34.012	34.000
30	30001	0	33.930	33.973	34.004
31	31001	0	33.937	33.969	33.992
32	32001	0	33.914	33.953	33.973
33	33001	0	33.910	33.941	33.969
34	34001	0	33.867	33.937	33.953
35	35001	0	33.867	33.926	33.922
36	36001	0	33.852	33.910	33.922
37	37001	0	33.832	33.895	33.906
38	38001	0	33.832	33.867	33.887
39	39001	0	33.805	33.848	33.867
40	40001	0	33.793	33.840	33.852
41	41001	0	33.789	33.824	33.852
42	42001	0	33.797	33.820	33.820
43	43001	0	33.758	33.816	33.824
44	44001	0	33.750	33.777	33.805
45	45001	0	33.742	33.781	33.785
46	46001	0	33.730	33.773	33.773
47	47001	0	33.711	33.746	33.773
48	48001	0	33.684	33.727	33.750
49	49001	0	33.688	33.730	33.730
50	50001	0	33.656	33.695	33.734
51	51001	0	33.672	33.703	33.730
52	52001	0	33.645	33.676	33.695
53	53001	0	33.629	33.668	33.684
54	54001	0	33.621	33.660	33.672
55	55001	0	33.621	33.645	33.656
56	56001	0	33.602	33.621	33.648
57	57001	0	33.590	33.621	33.621
58	58001	0	33.574	33.605	33.621
59	59001	0	33.555	33.617	33.602
60	60001	0	33.539	33.578	33.602
61	61001	0	33.535	33.590	33.574
62	62001	0	33.516	33.563	33.570
63	63000	0	33.504	33.551	33.555
64	64001	0	33.492	33.543	33.539
65	65001	0	33.496	33.527	33.535
66	66001	0	33.465	33.508	33.535
67	67001	0	33.469	33.492	33.516
68	68001	0	33.441	33.477	33.496
69	69001	0	33.430	33.480	33.496
70	70001	0	33.426	33.461	33.473
71	71001	0	33.422	33.457	33.469
72	72001	0	33.395	33.445	33.449
